g__Acidaminococcus,g__Akkermansia,g__Alistipes,g__Anaerostipes,g__Anaerotruncus,g__Bacteroides,g__Bifidobacterium,g__Blautia,g__Butyricicoccus,g__Butyricimonas,g__Catenibacterium,g__cc_115,g__Cloacibacillus,g__Clostridium,g__Collinsella,g__Coprococcus,g__Defluviitalea,g__Dialister,g__Dorea,g__Eggerthella,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Fusobacterium,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Megasphaera,g__Mogibacterium,g__Odoribacter,g__Oscillospira,g__Parabacteroides,g__Paraprevotella,g__Phascolarctobacterium,g__Prevotella,g__Roseburia,g__Ruminococcus,g__Streptococcus,g__Succinivibrio,g__Sutterella,g__Turicibacter,g__un_f__Barnesiellaceae,g__un_f__Christensenellaceae,g__un_f__Coriobacteriaceae,g__un_f__Erysipelotrichaceae,g__un_f__Lachnospiraceae,g__un_f__Mogibacteriaceae,g__un_f__Prevotellaceae,g__un_f__Rikenellaceae,g__un_f__Ruminococcaceae,g__un_f__S24-7,g__un_f__Victivallaceae,g__un_o__Bacteroidales,g__un_o__Clostridiales,g__un_o__ML615J-28,g__un_o__RF32,g__un_o__RF39,g__un_o__Streptophyta,g__un_o__YS2,g__un_p__Bacteroidetes,Group
0,0,0,0.00199600798403194,0,0.261477045908184,0,0.0139720558882236,0,0.0029940119760479,0,0,0,0.000998003992015968,0,0.0538922155688623,0,0,0.0119760479041916,0,0,0,0.00898203592814371,0.154690618762475,0,0.00199600798403194,0.0419161676646707,0,0,0,0.000998003992015968,0.0499001996007984,0.00998003992015968,0,0,0.000998003992015968,0.0129740518962076,0.0748502994011976,0,0,0.0029940119760479,0,0.0029940119760479,0.0728542914171657,0,0.000998003992015968,0.030938123752495,0,0,0.0149700598802395,0.12375249500998,0,0,0.0209580838323353,0.0119760479041916,0.00499001996007984,0,0.00698602794411178,0,0,0,Normal
0,0,0,0.00199600798403194,0.000998003992015968,0.333333333333333,0,0.0279441117764471,0,0,0,0,0,0.00399201596806387,0,0.0339321357285429,0,0,0.00399201596806387,0,0,0,0,0.112774451097804,0,0,0.00798403193612774,0,0,0,0.00499001996007984,0.0608782435129741,0.00199600798403194,0.0179640718562874,0,0,0.00598802395209581,0.0988023952095808,0,0,0.00499001996007984,0,0,0.0129740518962076,0,0.00199600798403194,0.0429141716566866,0,0,0.0389221556886228,0.0838323353293413,0,0,0,0.0828343313373253,0,0.00598802395209581,0,0,0,0,Normal
0,0,0,0.00199600798403194,0.000998003992015968,0.104790419161677,0,0.0289421157684631,0,0,0,0,0.000998003992015968,0.00499001996007984,0,0.0219560878243513,0,0,0.0179640718562874,0,0,0,0,0.165668662674651,0,0.000998003992015968,0.0409181636726547,0,0,0,0,0.0648702594810379,0.0199600798403194,0,0,0,0.00598802395209581,0.117764471057884,0,0,0,0,0,0.00998003992015968,0.000998003992015968,0.000998003992015968,0.0898203592814371,0.00199600798403194,0,0.1187624750499,0.0878243512974052,0,0,0,0.0848303393213573,0.000998003992015968,0,0,0,0,0,Normal
0.000998003992015968,0,0,0,0,0.589820359281437,0,0.0349301397205589,0,0,0,0,0,0.00698602794411178,0,0.0239520958083832,0,0,0.00698602794411178,0,0,0,0,0.115768463073852,0,0,0.00698602794411178,0,0,0,0.00199600798403194,0.0179640718562874,0.00598802395209581,0,0,0.0648702594810379,0.0109780439121756,0.0159680638722555,0,0,0.000998003992015968,0.000998003992015968,0.00499001996007984,0,0,0,0.0528942115768463,0.000998003992015968,0,0.00998003992015968,0.0129740518962076,0,0,0,0.00798403193612774,0,0.000998003992015968,0,0,0,0,Normal
0,0,0,0.00199600798403194,0,0.401197604790419,0,0.0159680638722555,0,0,0,0,0,0.0129740518962076,0,0.00998003992015968,0,0,0.00698602794411178,0,0,0,0.00598802395209581,0.1187624750499,0,0,0.0259481037924152,0,0,0,0.00399201596806387,0.0439121756487026,0.00898203592814371,0.0029940119760479,0.000998003992015968,0.0409181636726547,0.0518962075848303,0.0658682634730539,0,0,0.00798403193612774,0,0.00499001996007984,0,0.000998003992015968,0,0.0369261477045908,0,0.000998003992015968,0.0239520958083832,0.0588822355289421,0,0,0,0.0329341317365269,0,0.000998003992015968,0.000998003992015968,0,0,0.000998003992015968,Normal
0,0,0,0.00199600798403194,0,0.533932135728543,0,0.0259481037924152,0.000998003992015968,0,0,0,0,0.00399201596806387,0,0.0159680638722555,0,0.000998003992015968,0.00499001996007984,0,0,0,0,0.0838323353293413,0,0,0.0129740518962076,0,0,0,0.0029940119760479,0.0149700598802395,0.0119760479041916,0.000998003992015968,0,0.137724550898204,0.0109780439121756,0.0139720558882236,0,0,0.00499001996007984,0.000998003992015968,0.0119760479041916,0,0,0.000998003992015968,0.0449101796407186,0,0,0.0279441117764471,0.0139720558882236,0,0,0,0.00998003992015968,0,0,0,0,0,0.00199600798403194,Normal
0,0,0,0.000998003992015968,0,0.228542914171657,0,0.0279441117764471,0.000998003992015968,0,0,0,0,0.00399201596806387,0,0.031936127744511,0,0,0.0149700598802395,0,0,0,0.0159680638722555,0.284431137724551,0,0,0.0588822355289421,0,0,0,0.00199600798403194,0.029940119760479,0.00598802395209581,0,0,0.000998003992015968,0.0249500998003992,0.093812375249501,0,0,0,0,0.0139720558882236,0.00399201596806387,0,0.0029940119760479,0.0289421157684631,0.000998003992015968,0,0.0239520958083832,0.0658682634730539,0,0,0,0.0219560878243513,0,0,0.000998003992015968,0,0,0.00199600798403194,Normal
0,0,0,0.000998003992015968,0.000998003992015968,0.550898203592814,0,0.0269461077844311,0,0,0,0,0,0.0029940119760479,0,0.030938123752495,0,0,0.00898203592814371,0,0,0,0,0.0598802395209581,0,0,0.0109780439121756,0,0,0,0.0029940119760479,0.0179640718562874,0.00998003992015968,0.00199600798403194,0.000998003992015968,0.132734530938124,0.0129740518962076,0.0209580838323353,0,0,0.00199600798403194,0,0.00898203592814371,0,0,0.000998003992015968,0.0439121756487026,0,0,0.0329341317365269,0.00698602794411178,0,0,0,0.00698602794411178,0,0,0,0,0,0.000998003992015968,Normal
0,0,0.000998003992015968,0.00399201596806387,0,0.202594810379242,0,0.110778443113772,0.000998003992015968,0,0,0,0,0.000998003992015968,0,0.0469061876247505,0.0029940119760479,0,0.000998003992015968,0,0,0,0.00199600798403194,0.094810379241517,0,0,0.0419161676646707,0,0,0,0,0.11377245508982,0,0,0,0,0.0289421157684631,0.173652694610778,0,0,0.00499001996007984,0,0,0,0,0.00798403193612774,0.0409181636726547,0,0,0.0758483033932136,0.0129740518962076,0,0,0,0.030938123752495,0,0,0,0,0,0,Normal
0,0,0,0,0,0.399201596806387,0,0.0359281437125748,0,0,0,0,0,0.00399201596806387,0.00199600798403194,0.0289421157684631,0,0,0.00898203592814371,0,0,0,0,0.148702594810379,0,0.0029940119760479,0.0029940119760479,0,0,0,0.0159680638722555,0.031936127744511,0.0169660678642715,0,0,0,0.0199600798403194,0.062874251497006,0,0,0.0029940119760479,0,0,0.00199600798403194,0,0.00199600798403194,0.0658682634730539,0,0,0.0339321357285429,0.0369261477045908,0,0,0.0129740518962076,0.0528942115768463,0.00399201596806387,0.00399201596806387,0,0,0,0,Normal
0,0,0,0.000998003992015968,0,0.165668662674651,0,0.0189620758483034,0,0,0,0,0,0.0109780439121756,0.000998003992015968,0.0668662674650699,0,0.00199600798403194,0.00698602794411178,0,0,0,0.00199600798403194,0.183632734530938,0,0.0139720558882236,0.0249500998003992,0,0,0,0.00898203592814371,0.0598802395209581,0.0149700598802395,0,0,0.0229540918163673,0.0399201596806387,0.119760479041916,0.000998003992015968,0,0.0109780439121756,0,0.00499001996007984,0.000998003992015968,0,0,0.0558882235528942,0,0.0119760479041916,0.0189620758483034,0.0748502994011976,0,0,0,0.0359281437125748,0.00499001996007984,0.00898203592814371,0.00199600798403194,0,0,0,Normal
0,0,0,0.00399201596806387,0.000998003992015968,0.219560878243513,0,0.0878243512974052,0.000998003992015968,0,0,0,0,0.00199600798403194,0,0.0469061876247505,0,0,0.0179640718562874,0,0,0,0,0.18063872255489,0,0.00199600798403194,0.0379241516966068,0,0,0,0.00598802395209581,0.0269461077844311,0.000998003992015968,0,0,0,0.0239520958083832,0.158682634730539,0,0,0.00399201596806387,0,0,0,0,0.00698602794411178,0.0518962075848303,0,0,0.0169660678642715,0.0958083832335329,0,0,0,0.00698602794411178,0,0,0,0,0,0,CRC
0,0,0,0,0,0.882235528942116,0,0.0239520958083832,0.000998003992015968,0,0,0,0,0,0,0.00598802395209581,0.000998003992015968,0,0.0109780439121756,0,0,0,0,0,0,0,0.0109780439121756,0,0,0,0,0.0029940119760479,0,0,0,0,0,0.00598802395209581,0,0,0.00199600798403194,0,0,0,0,0.00199600798403194,0.0369261477045908,0,0,0.00798403193612774,0,0,0,0,0.00598802395209581,0,0,0,0,0,0,Normal
0,0,0,0,0,0.708582834331337,0,0.0279441117764471,0,0.00199600798403194,0,0,0,0.00199600798403194,0,0.00598802395209581,0.00199600798403194,0,0.00698602794411178,0,0,0,0,0.0588822355289421,0.0179640718562874,0,0,0,0,0,0.0109780439121756,0.0029940119760479,0.0568862275449102,0,0,0,0.0359281437125748,0.0179640718562874,0,0,0.000998003992015968,0,0,0,0,0,0.0179640718562874,0,0,0.0179640718562874,0,0.00399201596806387,0,0,0.00199600798403194,0,0,0,0,0,0,Normal
0,0,0,0.000998003992015968,0,0.318363273453094,0,0.0389221556886228,0.00499001996007984,0,0,0,0,0.00698602794411178,0,0.062874251497006,0,0.00199600798403194,0.00399201596806387,0,0,0,0,0.141716566866267,0,0,0.0139720558882236,0,0,0,0.0029940119760479,0.0788423153692615,0.0239520958083832,0,0,0,0.031936127744511,0.0339321357285429,0,0,0.00399201596806387,0,0.029940119760479,0.00798403193612774,0,0.0029940119760479,0.0419161676646707,0,0,0.0399201596806387,0.0698602794411178,0,0,0,0.030938123752495,0.0029940119760479,0,0.00199600798403194,0,0,0,Normal
0,0,0,0.000998003992015968,0,0.30439121756487,0,0.0349301397205589,0,0,0,0,0,0.00499001996007984,0,0.0359281437125748,0.000998003992015968,0,0.0439121756487026,0,0,0,0,0.0369261477045908,0,0,0.0349301397205589,0,0,0,0.0029940119760479,0.0329341317365269,0.00798403193612774,0,0,0,0.0279441117764471,0.117764471057884,0,0,0,0,0,0,0.000998003992015968,0.0389221556886228,0.0738522954091816,0.00199600798403194,0,0.0229540918163673,0.134730538922156,0,0,0,0.0389221556886228,0,0,0,0,0,0,Normal
